Variant     PMID      P-Value
rs2231142   23876492  0.02
rs10455872  22331829  3.5e-9
rs4149056   23708174  0.67
rs4149056   23930675  0.005
rs20455     30304062  0.07
rs2231142   23930675  0.00001
rs4363657   23708174  0.98
rs2199939   22331829  2.1e-12
rs2231142   23930675  0.0000001
rs20455     30304062  0.03
rs4149056   23942138  0.005
rs7412      22331829  5.8e-19
rs8187710   30100615  0.01
rs662799    29695967  0.001
rs8187706   30100615  0.002
rs71352238  22331829  2.9e-4
rs17216177  30100615  0.006
rs17111584  22331829  5.8e-4
rs1481012   22331829  1.7e-15
rs4693075   23942138  0.358
rs17216198  30100615  0.015
rs16980091  30100615  0.04
rs12487736  29318930  0.001
rs7899457   30100615  0.002
rs662799    29695967  0.05
rs3740066   30100615  0.01

# test commit
